ExerciseType,ExerciseSubType,Device:xAcceleration,Device:yAcceleration,Device:zAcceleration,Device:xRotationRate,Device:yRotationRate,Device:zRotationRate,AccRms,RotRms,roll,pitch
situp,situp,-0.826538086,0.520629883,0.111694336,17.95731707,13.41463415,58.1402439,0.983207154,62.31136017,1.359462821,-1.436474885
situp,situp,-0.782226563,0.486694336,0.110961914,25.33536585,6.981707317,53.68902439,0.927934437,59.77571697,1.346636866,-1.429882556
situp,situp,-0.661621094,0.535888672,0.057739258,22.16463415,10.09146341,56.70731707,0.853377386,61.71570667,1.463465507,-1.483747493
situp,situp,-0.602050781,0.656616211,0.052124023,18.96341463,11.12804878,61.79878049,0.892371506,65.5937027,1.491579662,-1.484434225
situp,situp,-0.560668945,0.798339844,0.032226563,14.3902439,13.90243902,54.75609756,0.97608131,58.2974026,1.530451258,-1.513380728
situp,situp,-0.459350586,0.840087891,-0.032714844,14.66463415,14.72560976,46.55487805,0.95802969,50.98285739,-1.531873826,1.499696605
situp,situp,-0.353515625,0.942016602,-0.088623047,14.81707317,12.28658537,36.61585366,1.010060701,41.36697447,-1.476994404,1.325167785
situp,situp,-0.282226563,0.998779297,-0.145263672,15.70121951,10.0304878,26.79878049,1.048004509,32.63914238,-1.426367805,1.095453345
situp,situp,-0.260009766,1.038696289,-0.185058594,8.719512195,10.27439024,14.78658537,1.08661941,20.00590149,-1.394482049,0.952236479
situp,situp,-0.296020508,1.050537109,-0.184326172,-0.426829268,4.756097561,-5.884146341,1.106902207,7.577982937,-1.397105351,1.013866769
situp,situp,-0.341674805,0.976196289,-0.143798828,-7.743902439,-1.981707317,-27.01219512,1.044212129,28.17008829,-1.424542878,1.172433613
situp,situp,-0.401855469,0.926879883,-0.112915039,-5.548780488,-5.213414634,-39.78658537,1.016535263,40.50853037,-1.449570933,1.296875205
situp,situp,-0.473510742,0.874145508,-0.091308594,-8.292682927,-4.115853659,-47.28658537,0.998338646,48.18433353,-1.466719068,1.380301317
situp,situp,-0.533935547,0.783325195,-0.053588867,-12.40853659,-2.5,-50.15243902,0.94950371,51.72512852,-1.502490725,1.470765512
