ExerciseType,ExerciseSubType,Device:xAcceleration,Device:yAcceleration,Device:zAcceleration,Device:xRotationRate,Device:yRotationRate,Device:zRotationRate,AccRms,RotRms,roll,pitch
squat,squat,-0.826293945,0.031616211,0.167358398,-0.853658537,0.457317073,3.079268293,0.843664686,3.227966082,0.186712807,-1.3709587
squat,squat,-0.930053711,-0.00378418,0.190185547,-2.713414634,-1.097560976,-4.390243902,0.94930752,5.276504581,-0.019894681,-1.369088383
squat,squat,-0.920410156,0.010498047,0.172851563,1.067073171,-0.731707317,-0.182926829,0.936558982,1.306714573,0.060659952,-1.385160118
squat,squat,-0.974731445,-0.006103516,0.211914063,-1.12804878,-5.579268293,-7.987804878,0.997520031,9.808453268,-0.028793885,-1.356720045
squat,squat,-0.912353516,-0.013671875,0.221069336,-0.640243902,-2.743902439,-3.963414634,0.93885436,4.862876557,-0.06176562,-1.333071455
squat,squat,-0.973144531,-0.026855469,0.212036133,0.670731707,1.859756098,-5.823170732,0.996338706,6.149625285,-0.125984351,-1.356261786
squat,squat,-0.936157227,-0.033813477,0.210205078,-1.493902439,1.006097561,-1.768292683,0.960062435,2.524051468,-0.159493164,-1.349919422
squat,squat,-0.946899414,-0.057495117,0.222167969,-1.920731707,1.768292683,-4.817073171,0.974311447,5.479075035,-0.253235474,-1.340338075
squat,squat,-0.95300293,-0.049560547,0.213012695,2.164634146,3.262195122,0.335365854,0.97777566,3.929380136,-0.228597784,-1.350893534
squat,squat,-0.888183594,-0.051391602,0.203369141,1.646341463,2.957317073,2.591463415,0.912617226,4.262844955,-0.247519238,-1.345704544
squat,squat,-0.880737305,-0.052368164,0.222045898,2.743902439,-0.365853659,-2.042682927,0.909804927,3.440262059,-0.231611517,-1.323829336
squat,squat,-0.758789063,-0.043334961,0.193115234,0.274390244,3.384146341,-1.31097561,0.784176163,3.639559522,-0.2207428,-1.321582645
squat,squat,-0.737915039,-0.038208008,0.176269531,1.615853659,4.634146341,0.365853659,0.75963768,4.921396576,-0.213456838,-1.336315249
squat,squat,-0.877807617,-0.038085938,0.189453125,4.695121951,2.164634146,-6.829268293,0.898826589,8.565554071,-0.198386642,-1.358231429
squat,squat,-0.902099609,-0.010498047,0.192871094,6.18902439,0.701219512,3.75,0.922547111,7.270366683,-0.054376723,-1.3601651
squat,squat,-0.980712891,0.004516602,0.226318359,8.719512195,-0.243902439,1.31097561,1.006497975,8.820886484,0.019954203,-1.343997479
squat,squat,-1.052856445,0.005737305,0.223510742,5.884146341,3.719512195,9.786585366,1.076334828,12.0097961,0.025663399,-1.361612008
squat,squat,-1.059326172,0.035888672,0.179199219,6.341463415,8.993902439,9.573170732,1.074975486,14.58595342,0.197657546,-1.403219381
squat,squat,-1.064941406,0.039794922,0.155273438,10.6402439,12.40853659,10.18292683,1.076937173,19.25820784,0.250889196,-1.426011888
squat,squat,-1.016113281,0.057373047,0.117553711,-0.884146341,8.048780488,6.768292683,1.024498288,10.55340551,0.454048572,-1.455618782
squat,squat,-1.020019531,0.060913086,0.150634766,-0.182926829,0.914634146,6.341463415,1.032879993,6.409693915,0.3842731,-1.424177745
squat,squat,-1.046630859,0.086669922,0.166870117,4.268292683,2.317073171,3.81097561,1.063387731,6.173385263,0.479035478,-1.41269152
squat,squat,-1.036865234,0.091796875,0.170532227,-1.219512195,0.243902439,6.402439024,1.054797336,6.522110383,0.4938133,-1.407786642
squat,squat,-0.967895508,0.0859375,0.160766602,1.951219512,2.317073171,4.451219512,0.98491262,5.384184321,0.490902691,-1.406199898
squat,squat,-0.989868164,0.086669922,0.137695313,0.457317073,3.475609756,-1.067073171,1.003150366,3.664375422,0.561780471,-1.432578583
squat,squat,-1.057128906,0.039916992,0.158081055,2.347560976,0.853658537,-1.859756098,1.069628211,3.114236372,0.247339289,-1.422358139
squat,squat,-1.198120117,0.011962891,0.190307617,21.76829268,1.890243902,-4.908536585,1.213199042,22.39476099,0.062778208,-1.413273765
squat,squat,-1.213623047,0.076538086,0.154541016,26.64634146,7.195121951,5.609756098,1.225814792,28.16498991,0.459848956,-1.444139413
squat,squat,-1.161987305,0.131835938,0.136352539,15.09146341,-0.731707317,6.219512195,1.177364526,16.33921649,0.76855861,-1.453986259
squat,squat,-1.06262207,0.095947266,0.173950195,14.93902439,1.097560976,-1.829268293,1.081032012,15.09057031,0.504054649,-1.408536468
squat,squat,-0.975341797,0.088378906,0.150756836,9.634146341,3.81097561,0.243902439,0.99087339,10.36338744,0.530236551,-1.417441714
