time,eSense Name,Ax,Ay,Az,Gx,Gy,Gz,title,label
1.58204E+12,eSense-0869,-0.865722656,0.631958008,0.128295898,20.45731707,-10.6097561,-15.06097561,squat-1,break
1.58204E+12,eSense-0869,-0.886108398,0.641235352,-0.009521484,19.3597561,14.51219512,-3.201219512,squat-1,break
1.58204E+12,eSense-0869,-0.784423828,0.545410156,0.007202148,1.25,-5.06097561,-17.07317073,squat-1,break
1.58204E+12,eSense-0869,-0.834350586,0.537353516,0.017333984,-7.256097561,5.12195122,-21.03658537,squat-1,break
1.58204E+12,eSense-0869,-0.854858398,0.477661133,0.002197266,-22.07317073,13.7804878,-31.00609756,squat-1,break
1.58204E+12,eSense-0869,-0.937866211,0.417358398,0.025634766,-30.27439024,18.53658537,-36.03658537,squat-1,break
1.58204E+12,eSense-0869,-0.845458984,0.372436523,0.094848633,-33.26219512,14.57317073,-30.6097561,squat-1,break
1.58204E+12,eSense-0869,-0.892578125,0.400268555,0.227050781,-28.29268293,4.695121951,-16.64634146,squat-1,break
1.58204E+12,eSense-0869,-0.858276367,0.419067383,0.264404297,-15.57926829,-1.890243902,2.652439024,squat-1,break
1.58204E+12,eSense-0869,-0.811035156,0.405151367,0.253295898,0.182926829,-1.615853659,-3.445121951,squat-1,break
1.58204E+12,eSense-0869,-0.932617188,0.417236328,0.24230957,3.68902439,-7.652439024,-5.335365854,squat-1,break
1.58204E+12,eSense-0869,-0.867675781,0.373535156,0.180908203,3.597560976,0.06097561,-4.756097561,squat-1,break
1.58204E+12,eSense-0869,-0.891601563,0.37109375,0.141357422,9.695121951,13.32317073,-5.762195122,squat-1,break
1.58204E+12,eSense-0869,-0.922851563,0.373413086,0.106201172,7.682926829,12.10365854,-1.219512195,squat-1,break
1.58204E+12,eSense-0869,-0.91796875,0.365966797,0.09753418,5.640243902,2.5,-0.640243902,squat-1,break
1.58204E+12,eSense-0869,-0.905761719,0.3671875,0.1015625,3.597560976,0.945121951,-0.274390244,squat-1,break
1.58204E+12,eSense-0869,-0.901000977,0.364257813,0.104125977,2.408536585,3.719512195,-1.463414634,squat-1,break
1.58204E+12,eSense-0869,-0.906616211,0.372070313,0.098022461,1.341463415,8.079268293,1.12804878,squat-1,break
1.58204E+12,eSense-0869,-0.913452148,0.377197266,0.092773438,1.676829268,6.707317073,2.042682927,squat-1,break
1.58204E+12,eSense-0869,-0.908447266,0.376953125,0.090332031,2.774390244,4.207317073,-0.091463415,squat-1,break
1.58204E+12,eSense-0869,-0.909179688,0.37878418,0.091674805,2.103658537,1.890243902,-0.640243902,squat-1,break
1.58204E+12,eSense-0869,-0.904296875,0.376953125,0.100585938,0.213414634,0.12195122,-0.518292683,squat-1,break
1.58204E+12,eSense-0869,-0.904174805,0.375488281,0.108520508,0.640243902,-0.091463415,0.762195122,squat-1,break
