time,eSense Name,Ax,Ay,Az,Gx,Gy,Gz,title,label
1.58E+12,eSense-0869,-0.986572266,0.07434082,0.20690918,-17.92682927,-2.835365854,-14.23780488,squat-1,break
1.58E+12,eSense-0869,-0.986572266,0.07434082,0.20690918,-17.92682927,-2.835365854,-14.23780488,squat-1,break
1.58E+12,eSense-0869,-0.954101563,0.0625,0.205932617,-8.932926829,-2.530487805,-19.72560976,squat-1,break
1.58E+12,eSense-0869,-0.954101563,0.0625,0.205932617,-8.932926829,-2.530487805,-19.72560976,squat-1,break
1.58E+12,eSense-0869,-0.95715332,0.001464844,0.220581055,-12.65243902,-3.109756098,-19.54268293,squat-1,break
1.58E+12,eSense-0869,-0.95715332,0.001464844,0.220581055,-12.65243902,-3.109756098,-19.54268293,squat-1,break
1.58E+12,eSense-0869,-0.949829102,-0.009277344,0.211303711,-12.92682927,-1.280487805,-10.6402439,squat-1,break
1.58E+12,eSense-0869,-0.949829102,-0.009277344,0.211303711,-12.92682927,-1.280487805,-10.6402439,squat-1,break
1.58E+12,eSense-0869,-0.964111328,0.005371094,0.207763672,-1.951219512,1.402439024,-0.884146341,squat-1,break
1.58E+12,eSense-0869,-0.964111328,0.005371094,0.207763672,-1.951219512,1.402439024,-0.884146341,squat-1,break
1.58E+12,eSense-0869,-0.982543945,-0.010375977,0.194458008,-1.463414634,-2.225609756,-6.036585366,squat-1,break
1.58E+12,eSense-0869,-0.982543945,-0.010375977,0.194458008,-1.463414634,-2.225609756,-6.036585366,squat-1,break
1.58E+12,eSense-0869,-0.990966797,0.025268555,0.205322266,2.469512195,-3.780487805,0.670731707,squat-1,break
1.58E+12,eSense-0869,-0.96105957,0.038330078,0.200317383,0.06097561,2.987804878,12.31707317,squat-1,break
1.58E+12,eSense-0869,-0.990966797,0.025268555,0.205322266,2.469512195,-3.780487805,0.670731707,squat-1,break
1.58E+12,eSense-0869,-0.96105957,0.038330078,0.200317383,0.06097561,2.987804878,12.31707317,squat-1,break
1.58E+12,eSense-0869,-0.958984375,0.045166016,0.22253418,3.75,-0.274390244,7.43902439,squat-1,break
1.58E+12,eSense-0869,-0.942138672,0.040405273,0.266601563,2.408536585,-1.554878049,-3.567073171,squat-1,break
1.58E+12,eSense-0869,-0.958984375,0.045166016,0.22253418,3.75,-0.274390244,7.43902439,squat-1,break
1.58E+12,eSense-0869,-0.942138672,0.040405273,0.266601563,2.408536585,-1.554878049,-3.567073171,squat-1,break
